"sido","sigun","dong","구주소본번","구주소부번","street","새주소본번","새주소부번","건물명","상세건물명","X좌표","Y좌표"
"서울특별시","중랑구","면목동","665","22","면목로35길","31","0","","","207440.5662","453233.0207"
"서울특별시","중랑구","면목동","341","15","면목로33길","44","7","","","207340.7127","453026.3266"
"서울특별시","중랑구","면목동","583","6","면목로30길","41","0","","","207787.5644","452921.9066"
"서울특별시","중랑구","면목동","374","55","면목로29길","37","0","대한예수교장로회동서울중앙교회","","207393.3273","452900.9066"
"서울특별시","중랑구","면목동","341","19","면목로27나길","60","0","한국일보","","207295.3767","453109.4253"
"서울특별시","중랑구","면목동","350","5","면목로27가길","23","0","김준빌딩","","207403.9204","452979.9795"
"서울특별시","중랑구","면목동","399","82","면목로21길","25","5","","","207275.9764","452520.3447"
"서울특별시","중랑구","망우동","151","33","망우로74가길","16","7","","","209292.9881","455411.2388"
"서울특별시","중랑구","망우동","151","37","망우로74가길","14","3","","","209275.363","455426.5684"
"서울특별시","중랑구","망우동","153","18","망우로72길","55","8","","","209111.3783","455332.915"
"서울특별시","중랑구","망우동","400","23","망우로70길","45","0","","","209081.5501","455329.101"
"서울특별시","중랑구","망우동","356","23","망우로67길","22","0","","","208956.6595","455736.8492"
"서울특별시","중랑구","신내동","493","106","망우로65나길","15","0","","","208734.0424","455731.7971"
"서울특별시","중랑구","망우동","491","2","망우로62길","20","0","","","208610.0137","455407.0777"
